ID,Name,ProposedName,Comment
0x000,AMD_PUBLIC_KEY,,AMDPublicKey
0x001,PSP_FW_BOOT_LOADER,,PSPBootLoader
0x002,PSP_FW_TRUSTED_OS,,PSPMainFirmware
0x003,PSP_FW_RECOVERY_BOOT_LOADER,,PSPRecoveryBootloaderandFirmware
0x004,PSP_NV_DATA,,PSPData
0x005,BIOS_PUBLIC_KEY,,BIOSPublicKey
0x006,BIOS_RTM_FIRMWARE,,BIOSRTMcode(PEI)volume
0x007,BIOS_RTM_SIGNATURE,,SignedBIOSRTMHash
0x008,SMU_OFFCHIP_FW,,PrimarySMUimage
0x009,AMD_SEC_DBG_PUBLIC_KEY,,SecureUnlockPublicKey
0x00a,OEM_PSP_FW_PUBLIC_KEY,,OptionalOEMPublicKey
0x00b,AMD_SOFT_FUSE_CHAIN_01,,64bitPSPSoftFuseChain
0x00c,PSP_BOOT_TIME_TRUSTLETS,,TrustletsloadedatBoot
0x00d,PSP_BOOT_TIME_TRUSTLETS_KEY,,KeythatsignedtheBoot-Trustlets
0x010,PSP_AGESA_RESUME_FW,,PSPAgesa-Resume-Firmware
0x012,SMU_OFF_CHIP_FW_2,,SecondarySMUimage
0x013,,,
0x014,,PSP_MCLF_TRUSTLETS,verysimiliarto~PspTrustlets.bin~incorebootblobs
0x01a,PSP_S3_NV_DATA,,S3DataBlob
0x021,,,
0x022,,,
0x028,,,
0x029,,,
0x02d,,,
0x030,,,
0x031,,,a_lot_ofstringsandalsosomeARMcode
0x032,,,
0x033,,,
0x034,,,
0x035,,,
0x036,,,
0x037,,,
0x038,,PSP_ENCRYPTED_NV_DATA,
0x039,,SEV_APP,
0x040,,PL2_SECONDARY_DIRECTORY,
0x05f,FW_PSP_SMUSCS,,Software Configuration Settings
0x060,FW_IMC,,IMC Firmware
0x061,FW_GEC,,GEC Firmware
0x062,FW_XHCI,,XHCI Firmware
0x063,FW_INVALID,,
0x070,,BL2_SECONDARY_DIRECTORY,
0x108,PSP_SMU_FN_FIRMWARE,,
0x112,,SMU_OFF_CHIP_FW_3,seems to be a tertiary SMUimage
0x118,PSP_SMU_FN_FIRMWARE2,,
0x124,,,
0x125,,,
0x15f,,FW_PSP_SMUSCS_2,seems to be a secondary FW_PSP_SMUSCS
0x208,,,
0x212,,,
0x224,,,Appears to be linked to 124 125 and 225
0x225,,,
0x30062,,,Maybe UEFI Image
